"('[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements (Unit: KRW)', 'concept_id')","('[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements (Unit: KRW)', 'label_ko')","('[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements (Unit: KRW)', 'label_en')","('[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements (Unit: KRW)', 'class0')","('[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements (Unit: KRW)', 'class1')","('[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements (Unit: KRW)', 'class2')","('[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,569728589077.0,629578773085.0,485605243552.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,518800178462.0,571372981178.0,430994742511.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,50928410615.0,58205791907.0,54610501041.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,25926052500.0,25881244141.0,22135324720.0
dart_OperatingIncomeLoss,영업이익,Operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,25002358115.0,32324547766.0,32475176321.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,9756242504.0,11850748162.0,12265980830.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,13652632815.0,16253187108.0,11452953126.0
dart_OtherGains,기타이익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타이익,,,5812551449.0,2254423866.0,2368906265.0
dart_OtherLosses,기타비용,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타비용,,,5763764863.0,269188653.0,369309938.0
entity00129989_OtherIncomeExpenseFromAssociatesOfStatementOfComprehensiveIncomeAbstract,관계기업투자 관련 손익,Other income (expense) from associates,ifrs-full:StatementOfComprehensiveIncomeAbstract,관계기업투자 관련 손익,,,-849672230.0,,
entity00129989_OtherIncomeExpenseFromJointlyControlledEntitiesAndAssociatesOfStatementOfComprehensiveIncomeAbstract,공동기업투자 관련 손익,Other income (expense) from jointly controlled entities,ifrs-full:StatementOfComprehensiveIncomeAbstract,공동기업투자 관련 손익,,,-310961555.0,-908221677.0,284541161.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익,,,19994120605.0,28999122356.0,35572341513.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,2346584610.0,1962834455.0,7875313549.0
ifrs-full_ProfitLoss,당기순이익,Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익,,,17647535995.0,27036287901.0,27697027964.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,-897224949.0,-3848258971.0,2999505887.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 항목,"Other comprehensive income that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,,-1343568672.0,-3849120937.0,3163638117.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 항목,"Other comprehensive income that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,,446343723.0,861966.0,-164132230.0
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,,,16750311046.0,23188028930.0,30696533851.0
ifrs-full_BasicEarningsLossPerShare,기본주당이익,Basic earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],기본주당이익,,543.0,861.0,912.0
ifrs-full_DilutedEarningsLossPerShare,희석주당이익,Diluted earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],희석주당이익,,543.0,861.0,912.0
