"('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'label_en')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class0')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class1')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class2')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,영  업  수  익,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,영  업  수  익,,,11280306577010.0,10210184320220.0,9544799999478.0,8588656501947.0,8942353665382.0,8031651241233.0
ifrs-full_FeeAndCommissionIncome,1. 수수료수익,Fee and commission income,ifrs-full:StatementOfComprehensiveIncomeAbstract,1. 수수료수익,,,1050418359318.0,981147868497.0,916680453885.0,841325606195.0,968115953768.0,879728724977.0
entity00296290_GainFromFinancialInstrumentsAtFairValueThroughProfitOrLossOfStatementOfComprehensiveIncomeAbstract,2. 당기손익-공정가치 측정 금융상품 관련이익,Gain from financial instruments at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,2. 당기손익-공정가치 측정 금융상품 관련이익,,,2071842487464.0,,2128737448974.0,,1545045674560.0,
entity00296290_GainFromDerivativesOfStatementOfComprehensiveIncomeAbstract,3. 파생상품 관련이익,Gain from derivatives,ifrs-full:StatementOfComprehensiveIncomeAbstract,3. 파생상품 관련이익,,,4932858404922.0,,3657763118577.0,,3807457583916.0,
entity00296290_GainFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncomeOfStatementOfComprehensiveIncomeAbstract,4. 기타포괄손익-공정가치 측정 금융상품 관련이익,Gain from financial instruments at fair value through other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,4. 기타포괄손익-공정가치 측정 금융상품 관련이익,,,27969134650.0,,47733013377.0,,46787782655.0,
entity00296290_GainFromFinancialInstrumentsAtAmortisedCostOfStatementOfComprehensiveIncomeAbstract,5. 상각후원가 측정 금융상품 관련이익,Gain from financial instruments at amortised cost,ifrs-full:StatementOfComprehensiveIncomeAbstract,5. 상각후원가 측정 금융상품 관련이익,,,36310882970.0,,15108176336.0,,22629574010.0,
ifrs-full_RevenueFromInterest,6. 이자수익,Interest income,ifrs-full:StatementOfComprehensiveIncomeAbstract,6. 이자수익,,,1711227153363.0,1095474457058.0,1674818454864.0,1105280269530.0,1162712450111.0,709816280534.0
ifrs-full_InterestRevenueCalculatedUsingEffectiveInterestMethod,유효이자율 적용 이자수익,Interest revenue calculated using effective interest method,ifrs-full:StatementOfComprehensiveIncomeAbstract,6. 이자수익,유효이자율 적용 이자수익,,1249015369526.0,650108129741.0,1227034896815.0,668886499916.0,929134975467.0,483275123308.0
ifrs-full_InterestIncomeOnFinancialAssetsDesignatedAtFairValueThroughProfitOrLoss,당기손익-공정가치 측정 금융상품 이자수익,Interest income on financial assets designated at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,6. 이자수익,당기손익-공정가치 측정 금융상품 이자수익,,462211783837.0,445366327317.0,447783558049.0,436393769614.0,233577474644.0,226541157226.0
entity00296290_ForeignExchangeGainOfStatementOfComprehensiveIncomeAbstract,7. 외환거래이익,Foreign exchange gain,ifrs-full:StatementOfComprehensiveIncomeAbstract,7. 외환거래이익,,,1436187612816.0,,1075317404508.0,,1302257819702.0,
