"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,27388738985000.0,32340793124000.0,28536917267000.0,33132821374000.0,32566135142000.0,37989588330000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,-26031528940000.0,-30444809936000.0,-27168264634000.0,-31293287571000.0,-31587436956000.0,-36421950442000.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,1357210045000.0,1895983188000.0,1368652633000.0,1839533803000.0,978698186000.0,1567637888000.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,-475693148000.0,-779061951000.0,-417623148000.0,-676421768000.0,-474048371000.0,-665130879000.0
dart_OperatingIncomeLoss,영업이익,Operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,881516897000.0,1116921237000.0,951029485000.0,1163112035000.0,504649815000.0,902507009000.0
dart_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,관계기업투자이익,Profits of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,관계기업투자이익,,,,146320152000.0,,111768679000.0,,77679876000.0
dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,관계기업투자손실,Losses of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,관계기업투자손실,,,,-18569870000.0,,-20461439000.0,,-2767249000.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,1439991483000.0,1437136413000.0,1336775608000.0,1282275116000.0,2380046350000.0,2405334622000.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,-1497364954000.0,-1711580938000.0,-1402052602000.0,-1572100317000.0,-2407278011000.0,-2572002827000.0
dart_OtherGains,기타영업외수익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외수익,,,34722422000.0,40336338000.0,33395910000.0,21416651000.0,15985866000.0,19002305000.0
dart_OtherLosses,기타영업외비용,Other expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외비용,,,-208765768000.0,-303947459000.0,-85975198000.0,-71388514000.0,-99274025000.0,-87607152000.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익,,,650100080000.0,706615873000.0,833173203000.0,914622211000.0,394129995000.0,742146584000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,-139170283000.0,-203206148000.0,-200654698000.0,-234202908000.0,-104657625000.0,-137234204000.0
ifrs-full_ProfitLoss,당기순이익,Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익,,,510929797000.0,503409725000.0,632518505000.0,680419303000.0,289472370000.0,604912380000.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,-21755238000.0,134494912000.0,-15416066000.0,50346819000.0,15485606000.0,-6690339000.0
