"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,수익(매출액),Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,수익(매출액),,,3699944235821.0,3608988009617.0,4759871486264.0,4457200823055.0,3301915805063.0,3041287029187.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,3464000350923.0,3368164634981.0,4502641709206.0,4223922308588.0,2967157795371.0,2732403053083.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,235943884898.0,240823374636.0,257229777058.0,233278514467.0,334758009692.0,308883976104.0
ifrs-full_GeneralAndAdministrativeExpense,일반관리비,General and administrative expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,일반관리비,,,209135292521.0,188473683592.0,197707172296.0,178500960595.0,156949012419.0,145639948646.0
ifrs-full_DistributionAndAdministrativeExpense,판매및물류비,Sales and distribution expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매및물류비,,,26087346511.0,23431641309.0,23640418763.0,19818965634.0,11937327330.0,10053806010.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,721245866.0,28918049735.0,35882185999.0,34958588238.0,165871669943.0,153190221448.0
dart_OtherGains,기타이익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타이익,,,6040532807.0,4786416617.0,9937503103.0,6857333632.0,4774826974.0,3768106731.0
dart_OtherLosses,기타손실,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타손실,,,330492555464.0,408961629308.0,58667161732.0,79053092925.0,3441213761.0,3257667183.0
dart_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손익,Profits and losses of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손익,,,-95215408153.0,,-30920020533.0,,20749921121.0,
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,221849911259.0,214044119489.0,203467428777.0,207646000529.0,121370869361.0,142658812625.0
