"('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'label_en')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'class0')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'class1')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'class2')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_InterestRevenueExpense,순이자이익,Net interest income,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자이익,,,8761000000000.0,-154290000000.0,-144221000000.0,8879449000000.0,-119028000000.0,9006015000000.0
ifrs-full_RevenueFromInterest,이자수익,Interest income,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자이익,이자수익,,24116588000000.0,7711000000.0,5209000000.0,23275944000000.0,6766000000.0,15984691000000.0
ifrs-full_InterestExpense,이자비용,Interest expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자이익,이자비용,,-15355588000000.0,-162001000000.0,-149430000000.0,-14396495000000.0,-125794000000.0,-6978676000000.0
ifrs-full_FeeAndCommissionIncomeExpense,순수수료이익,Net fees and commission income,ifrs-full:StatementOfComprehensiveIncomeAbstract,순수수료이익,,,2469854000000.0,-6745000000.0,-11485000000.0,1977733000000.0,-14795000000.0,1715071000000.0
ifrs-full_FeeAndCommissionIncome,수수료수익,Fees and commission income,ifrs-full:StatementOfComprehensiveIncomeAbstract,순수수료이익,수수료수익,,3598814000000.0,,,3034920000000.0,,2688951000000.0
ifrs-full_FeeAndCommissionExpense,수수료비용,Fees and commission expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,순수수료이익,수수료비용,,-1128960000000.0,-6745000000.0,-11485000000.0,-1057187000000.0,-14795000000.0,-973880000000.0
dart_GainLossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정 금융상품관련 순손익,Gain (loss) from financial instruments at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정 금융상품관련 순손익,,,261714000000.0,48632000000.0,49891000000.0,745788000000.0,6697000000.0,126234000000.0
dart_GainLossFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정 금융자산 관련 순손익,Gain (loss) from financial instruments at fair value through other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익-공정가치측정 금융자산 관련 순손익,,,220765000000.0,,,80582000000.0,,17146000000.0
dart_GainLossFromFinancialInstrumentsAtAmortisedCost,상각후원가측정 금융자산 처분손익,"Gain(loss) on disposal of financial assets measured at 
amortized cost",ifrs-full:StatementOfComprehensiveIncomeAbstract,상각후원가측정 금융자산 처분손익,,,-76242000000.0,,,85086000000.0,,61066000000.0
dart_GainLossFromDerivativesHeldForHedging,위험회피회계 파생상품 관련 손익,Gain(loss) on derivative assets used for hedging,ifrs-full:StatementOfComprehensiveIncomeAbstract,위험회피회계 파생상품 관련 손익,,,-65768000000.0,,,25306000000.0,,-67719000000.0
