"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출액,Sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,669672760000.0,2255648536000.0,2178088207000.0,614078836000.0,559813543000.0,1776153957000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,438242992000.0,1295840399000.0,1169079197000.0,401893644000.0,393714583000.0,933514576000.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,231429768000.0,959808137000.0,1009009010000.0,212185192000.0,166098960000.0,842639381000.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,194493976000.0,775762850000.0,713365703000.0,186329221000.0,162457606000.0,605731451000.0
dart_OperatingIncomeLoss,영업이익,Operating profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,36935792000.0,184045287000.0,295643307000.0,25855971000.0,3641354000.0,236907930000.0
dart_OtherGains,기타수익,Other income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타수익,,,2054906000.0,6856900000.0,153127240000.0,7300200000.0,17282608000.0,42811780000.0
dart_OtherLosses,기타비용,Other expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타비용,,,78351470000.0,131109577000.0,166687028000.0,168575800000.0,18817091000.0,154250889000.0
dart_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익,Profits of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법이익,,,,507388000.0,26014947000.0,,,13842943000.0
dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손실,Losses of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손실,,,,18877895000.0,15335422000.0,,,13735409000.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,275789813000.0,119274592000.0,206933963000.0,278277084000.0,171197455000.0,121954537000.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,104598004000.0,141271874000.0,249563765000.0,339591258000.0,118376373000.0,151046242000.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순손익,Profit before income tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순손익,,,131831037000.0,19424821000.0,250133242000.0,-196733803000.0,54927953000.0,96484650000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Income tax expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,-10570408000.0,22856668000.0,66683683000.0,-6728222000.0,4449197000.0,48452525000.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),,,142401445000.0,-3431847000.0,183449559000.0,-190005581000.0,50478755000.0,48032125000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주 귀속 당기순이익,"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속,지배기업의 소유주 귀속 당기순이익,,,9379803000.0,187253217000.0,,,52320842000.0
