"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,영업수익,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업수익,,,36551475000000.0,38388740000000.0,44555995000000.0,42832510000000.0,51724287000000.0,50301773000000.0
ifrs-full_RevenueFromSaleOfGoods,재화의 판매로 인한 수익(매출액),Revenue from sale of goods,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업수익,재화의 판매로 인한 수익(매출액),,36121429000000.0,37122856000000.0,43491557000000.0,42523681000000.0,50788420000000.0,50085245000000.0
ifrs-full_RevenueFromRenderingOfServices,용역의 제공으로 인한 수익(매출액),Revenue from rendering of services,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업수익,용역의 제공으로 인한 수익(매출액),,,726274000000.0,637674000000.0,,600215000000.0,
ifrs-full_RevenueFromConstructionContracts,건설계약으로 인한 수익(매출액),Revenue from construction contracts,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업수익,건설계약으로 인한 수익(매출액),,,89201000000.0,110636000000.0,,113334000000.0,
dart_RevenueGovernmentGrant,정부보조금수익(매출액),Revenue government grant,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업수익,정부보조금수익(매출액),,3737000000.0,15274000000.0,9190000000.0,2393000000.0,9270000000.0,4518000000.0
dart_RevenueContributionToConstruction,공사부담금수익(매출액),Revenue contribution to construction,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업수익,공사부담금수익(매출액),,174000000.0,174000000.0,146000000.0,146000000.0,146000000.0,146000000.0
ifrs-full_OtherRevenue,기타수익(매출액),Other revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업수익,기타수익(매출액),,426135000000.0,434961000000.0,306792000000.0,306290000000.0,212902000000.0,211864000000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,33651232000000.0,34976067000000.0,42598872000000.0,41299637000000.0,48828263000000.0,47909872000000.0
dart_CostOfSalesFromSaleOfGoods,재화의 판매로 인한 수익(매출액)에 대한 매출원가,Cost of sales from sale of goods,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,재화의 판매로 인한 수익(매출액)에 대한 매출원가,,33500208000000.0,34075816000000.0,41845904000000.0,41203466000000.0,48203354000000.0,47821982000000.0
dart_CostOfSalesFromRenderingOfServices,용역의 제공으로 인한 수익(매출액)에 대한 매출원가,Cost of sales from rendering of services,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,용역의 제공으로 인한 수익(매출액)에 대한 매출원가,,,654570000000.0,547063000000.0,,427417000000.0,
dart_CostOfSalesFromConstructionContracts,건설계약으로 인한 수익(매출액)에 대한 매출원가,Cost of sales from construction contracts,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,건설계약으로 인한 수익(매출액)에 대한 매출원가,,,84454000000.0,106939000000.0,,106467000000.0,
