"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,91646582000000.0,93398896000000.0,85825593000000.0,88219461000000.0,71257863000000.0,68951546000000.0
ifrs-full_RevenueFromSaleOfGoods,재화의 판매로 인한 매출액,Revenue from sale of goods,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,재화의 판매로 인한 매출액,,90553793000000.0,91018712000000.0,84581026000000.0,85940137000000.0,69184469000000.0,67844575000000.0
ifrs-full_RevenueFromRenderingOfServices,용역의 제공으로 인한 매출액,Revenue from rendering of services,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,용역의 제공으로 인한 매출액,,38021000000.0,710445000000.0,53016000000.0,750878000000.0,714602000000.0,84239000000.0
dart_RevenueFromConstruction,건설계약으로 인한 매출액,Revenue from construction,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,건설계약으로 인한 매출액,,234138000000.0,849108000000.0,448500000000.0,785395000000.0,646953000000.0,310893000000.0
dart_RevenueContributionToConstruction,공사부담금 수익,Revenue contribution to construction,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,공사부담금 수익,,820630000000.0,820631000000.0,743051000000.0,743051000000.0,711839000000.0,711839000000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,86490574000000.0,81964160000000.0,90338056000000.0,89699527000000.0,100903594000000.0,100883354000000.0
dart_CostOfSalesFromSaleOfGoods,재화의 판매로 인한 매출원가,Cost of sales from sale of goods,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,재화의 판매로 인한 매출원가,,85752911000000.0,80221013000000.0,89427616000000.0,88066120000000.0,99441768000000.0,100069648000000.0
dart_CostOfSalesFromRenderingOfServices,용역의 제공으로 인한 매출원가,Cost of sales from rendering of services,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,용역의 제공으로 인한 매출원가,,140033000000.0,557261000000.0,221795000000.0,629806000000.0,520572000000.0,190962000000.0
dart_CostOfSalesFromConstruction,건설계약으로 인한 매출원가,Cost of sales from construction,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,건설계약으로 인한 매출원가,,597630000000.0,1185886000000.0,688645000000.0,1003601000000.0,941254000000.0,622744000000.0
ifrs-full_GrossProfit,매출총이익(손실),Gross profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익(손실),,,5156008000000.0,11434736000000.0,-4512463000000.0,-1480066000000.0,-29645731000000.0,-31931808000000.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,1989350000000.0,3070026000000.0,1991455000000.0,3061582000000.0,3009422000000.0,1976767000000.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,3166658000000.0,8364710000000.0,-6503918000000.0,-4541648000000.0,-32655153000000.0,-33908575000000.0
