"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,3298568729593.0,9411947926996.0,3024973769258.0,8939621475507.0,8394203036511.0,3471707381551.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,2316406748951.0,5943937771390.0,2243344013956.0,6043639924483.0,6291656293699.0,2806578103084.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,982161980642.0,3468010155606.0,781629755302.0,2895981551024.0,2102546742812.0,665129278467.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and distribution expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,845074999859.0,1705749867505.0,757229654080.0,1568036230233.0,1396728653773.0,690191676265.0
dart_OperatingIncomeLoss,영업이익,Operating profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,137086980783.0,1762260288101.0,24400101222.0,1327945320791.0,705818089039.0,-25062397798.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,50219403036.0,219759747956.0,44734764275.0,153097538658.0,144685378544.0,81278886146.0
ifrs-full_FinanceCosts,금융원가,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융원가,,,52604085979.0,144167140938.0,103092683282.0,198888909020.0,146434463635.0,95674829241.0
dart_OtherGains,기타영업외수익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외수익,,,1120627059304.0,297296784369.0,1030833832913.0,304191731794.0,483081997419.0,491494043597.0
dart_OtherLosses,기타영업외비용,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외비용,,,393416903072.0,467595760450.0,213348650220.0,399952420279.0,314180626003.0,114575261105.0
entity00937324_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethodOfStatementOfComprehensiveIncomeAbstract,관계기업투자손익,"Gain on investments in associates, net",ifrs-full:StatementOfComprehensiveIncomeAbstract,관계기업투자손익,,,,-93287143179.0,,-12007781473.0,-11553141303.0,
ifrs-full_GainsLossesOnNetMonetaryPosition,순화폐성자산에 대한 이익(손실),Gains (losses) on net monetary position,ifrs-full:StatementOfComprehensiveIncomeAbstract,순화폐성자산에 대한 이익(손실),,,,-444866158.0,,-3166547767.0,-3063407727.0,
ifrs-full_ProfitLossBeforeTax,법인세차감전순이익,Profit before income tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세차감전순이익,,,861912454072.0,1573821909701.0,783527364908.0,1171218932704.0,858353826334.0,337460441599.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Income tax expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,123011546924.0,442724091486.0,111836979497.0,442425980549.0,152579300356.0,74047399320.0
ifrs-full_ProfitLoss,당기순이익,Profit for the year,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익,,,738900907148.0,1131097818215.0,671690385411.0,728792952155.0,705774525978.0,263413042279.0
ifrs-full_OtherComprehensiveIncome,법인세비용 차감후 기타포괄손익,Other comprehensive income (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용 차감후 기타포괄손익,,,6497640524.0,592223953320.0,-40674745095.0,122695335671.0,9576235981.0,59873377721.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 항목,Items that will not be reclassified to profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용 차감후 기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,,6497640524.0,8203607028.0,-39731376703.0,-40995332014.0,68022851965.0,64793934787.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류 되는 항목,Items that may be subsequently reclassified to profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용 차감후 기타포괄손익,후속적으로 당기손익으로 재분류 되는 항목,,,584020346292.0,-943368392.0,163690667685.0,-58446615984.0,-4920557066.0
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income for the period,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,,,745398547672.0,1723321771535.0,631015640316.0,851488287826.0,715350761959.0,323286420000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업소유주,Owners of the Parent Company,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익의 귀속,지배기업소유주,,,1114628550190.0,,720217649290.0,690248871529.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,Non-controlling interests,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익의 귀속,비지배지분,,,16469268025.0,,8575302865.0,15525654449.0,
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,"총 포괄손익, 지배기업의 소유주",Owners of the Parent Company,ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속 [개요],"총 포괄손익, 지배기업의 소유주",,,1706447183237.0,,842988988785.0,700153149363.0,
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,"총 포괄손익, 비지배지분",Non-controlling interests,ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속 [개요],"총 포괄손익, 비지배지분",,,16874588298.0,,8499299041.0,15197612596.0,
ifrs-full_BasicEarningsLossPerShare,기본및희석주당순이익,Basic earnings (loss) per share and diluted earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],기본및희석주당순이익,,6057.0,9137.0,5506.0,5904.0,5658.0,2159.0
