"('[D432420] 단일 포괄손익계산서, 성격별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by nature of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D432420] 단일 포괄손익계산서, 성격별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by nature of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D432420] 단일 포괄손익계산서, 성격별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by nature of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D432420] 단일 포괄손익계산서, 성격별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by nature of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D432420] 단일 포괄손익계산서, 성격별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by nature of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D432420] 단일 포괄손익계산서, 성격별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by nature of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D432420] 단일 포괄손익계산서, 성격별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by nature of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,1114122996196.0,1495501575568.0,1490887463726.0,1096946397948.0,1331546600126.0,982048865567.0
dart_RevenueFromSaleOfGoodsProduct,제품매출,Revenue from sale of goods product,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,제품매출,,929216822774.0,1377938683524.0,1349597503609.0,886293220408.0,1216935992703.0,813466943706.0
dart_RevenueFromSaleOfGoodsMerchandise,상품매출,Revenue from sale of goods merchandise,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,상품매출,,164144996471.0,96124268557.0,95136873603.0,166477540661.0,97462998393.0,151535168775.0
dart_RevenueFromRenderingOfServicesProcession,임가공매출,Revenue from rendering of services procession,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,임가공매출,,10804361492.0,10804361492.0,11427331135.0,11427331135.0,7796947435.0,7796947435.0
entity00828497_TechnologyExportRevenueOfudf_IS_20253716273788OfStatementOfComprehensiveIncomeAbstract,기술수출수익,Technology Export Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,기술수출수익,,,7673697200.0,27654390985.0,,3457793949.0,
ifrs-full_OtherRevenue,기타매출,Other revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,기타매출,,2397908424.0,2960564795.0,7071364394.0,7228849159.0,5892867646.0,5792011702.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,581772580221.0,678464579524.0,661638120501.0,566773722313.0,612993540469.0,538502607200.0
dart_CostOfSalesFromSaleOfGoodsProduct,제품매출원가,Cost of sales from sale of goods product,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,제품매출원가,,424270068957.0,588835809256.0,570185510493.0,404303647170.0,524774962767.0,396493815237.0
ifrs-full_CostOfMerchandiseSold,상품매출원가,Cost of merchandise sold,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,상품매출원가,,153625995272.0,85605168414.0,84546405372.0,155860429105.0,84371114704.0,138449289653.0
dart_CostOfSalesFromRenderingOfServicesProcession,임가공매출원가,Cost of sales from rendering of services procession,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,임가공매출원가,,3876515992.0,3876515992.0,6609646038.0,6609646038.0,3559502310.0,3559502310.0
dart_OtherCostOfSales,기타매출원가,Other cost,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,기타매출원가,,,147085862.0,296558598.0,,287960688.0,
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,532350415975.0,817036996044.0,829249343225.0,530172675635.0,718553059657.0,443546258367.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,253037473220.0,421959853501.0,426789137286.0,251555922263.0,406145972155.0,241572037725.0
dart_OrdinaryDevelopmentExpense,경상개발비,Ordinary development expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,경상개발비,,,146612371133.0,178890954537.0,181769140919.0,148986504208.0,154316776047.0,122863473327.0
dart_OperatingIncomeLoss,영업이익,Operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,132700571622.0,216186188006.0,220691065020.0,129630249164.0,158090311455.0,79110747315.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,4205167817.0,12197236199.0,7247424818.0,376697310.0,7963877349.0,403794203.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,28100030253.0,31127225569.0,29486476349.0,26106452286.0,23494454740.0,21161348182.0
dart_OtherGains,기타영업외수익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외수익,,,78101072549.0,19679546141.0,25403890316.0,46896835817.0,14127471416.0,21745729253.0
dart_OtherLosses,기타영업외비용,Other non-operating expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외비용,,,37738242491.0,45672568021.0,28588261037.0,23466818441.0,27137646877.0,20666226168.0
