"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,수익(매출액),Revenue,포괄손익계산서 [개요],수익(매출액),,,776356975793.0,584851047907.0,565897023944.0,771654641559.0,885470791861.0,637646663969.0
dart_RevenueFromSaleOfGoodsMerchandise,상품매출액,Revenue from sale of goods merchandise,포괄손익계산서 [개요],수익(매출액),상품매출액,,55101167708.0,35511677236.0,28040944793.0,55229271964.0,58100761545.0,33960054446.0
dart_RevenueFromSaleOfGoodsProduct,제품매출액,Revenue from sale of goods product,포괄손익계산서 [개요],수익(매출액),제품매출액,,718228200807.0,544731264427.0,535541894117.0,715207146111.0,822838953312.0,597923228233.0
ifrs-full_OtherRevenue,기타수익(매출액),Other revenue,포괄손익계산서 [개요],수익(매출액),기타수익(매출액),,3027607278.0,4608106244.0,2314185034.0,1218223484.0,4531077004.0,5763381290.0
ifrs-full_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [개요],매출원가,,,571593175691.0,418202162545.0,399402013067.0,566694534443.0,619788692622.0,435238878662.0
ifrs-full_CostOfMerchandiseSold,상품매출원가,Cost of merchandise sold,포괄손익계산서 [개요],매출원가,상품매출원가,,45422489219.0,29911049310.0,25480209509.0,48037633395.0,56547256608.0,30558480599.0
dart_CostOfSalesFromSaleOfGoodsProduct,제품매출원가,Cost of sales from sale of goods product,포괄손익계산서 [개요],매출원가,제품매출원가,,522563550182.0,385855318776.0,372767553169.0,516706963830.0,557968812661.0,400190783933.0
dart_OtherCostOfSales,기타매출원가,Other cost of sales,포괄손익계산서 [개요],매출원가,기타매출원가,,3607136290.0,2435794459.0,1154250389.0,1949937218.0,5272623353.0,4489614130.0
ifrs-full_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [개요],매출총이익,,,204763800102.0,166648885362.0,166495010877.0,204960107116.0,265682099239.0,202407785307.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,포괄손익계산서 [개요],판매비와관리비,,,75938423982.0,50884573767.0,55732102995.0,80815755643.0,79691990775.0,57141528282.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),포괄손익계산서 [개요],영업이익(손실),,,128825376120.0,115764311595.0,110762907882.0,124144351473.0,185990108464.0,145266257025.0
ifrs-full_FinanceIncome,금융수익,Finance income,포괄손익계산서 [개요],금융수익,,,11649279435.0,7430557427.0,6027880173.0,8690456069.0,9227699362.0,6390665561.0
ifrs-full_FinanceCosts,금융원가,Finance costs,포괄손익계산서 [개요],금융원가,,,6629163690.0,4634754317.0,6276070534.0,9426230375.0,7518951400.0,5789040657.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,관계기업투자손익,Profit and Loss on Investment in Associates,포괄손익계산서 [개요],관계기업투자손익,,,20231025603.0,,,12694657939.0,8271983100.0,
dart_OtherGains,기타이익,Other gains,포괄손익계산서 [개요],기타이익,,,6049346908.0,9810870263.0,38631926500.0,4183606882.0,9009574532.0,13109149677.0
dart_OtherLosses,기타손실,Other losses,포괄손익계산서 [개요],기타손실,,,12352551824.0,11616212431.0,1907220421.0,4694406061.0,10742554728.0,6756889158.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,포괄손익계산서 [개요],법인세비용차감전순이익(손실),,,147773312552.0,116754772537.0,147239423600.0,135592435927.0,194237859330.0,152220142448.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),포괄손익계산서 [개요],법인세비용(수익),,,22879421603.0,21367026051.0,26953355935.0,26902312689.0,27260104010.0,31380151174.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [개요],당기순이익(손실),,,124893890949.0,95387746486.0,120286067665.0,108690123238.0,166977755320.0,120839991274.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,포괄손익계산서 [개요],기타포괄손익,,,2045283827.0,-2520271046.0,-5202686557.0,-5637347893.0,-426791674.0,3264487744.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는항목(세후기타포괄손익),"Other comprehensive income that will not be reclassified to profit or loss, net of tax",포괄손익계산서 [개요],기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),,-3129308196.0,-2520271046.0,-5202686557.0,-5704250911.0,3321798768.0,3264487744.0
