"('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,수익(매출액),Revenue,당기손익 [개요],수익(매출액),,9998723268169.0,3625271424615.0,9521628335626.0,3531567612865.0,3202875799921.0,8601532657935.0
ifrs-full_CostOfSales,매출원가,Cost of sales,당기손익 [개요],매출원가,,9186539604117.0,3274340663313.0,8612031209302.0,3138229826364.0,2839030959749.0,7753854497496.0
ifrs-full_GrossProfit,매출총이익,Gross profit,당기손익 [개요],매출총이익,,812183664052.0,350930761302.0,909597126324.0,393337786501.0,363844840172.0,847678160439.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,당기손익 [개요],판매비와관리비,,716646310258.0,356374217377.0,626012343463.0,321938642891.0,372555528232.0,585092286496.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),당기손익 [개요],영업이익(손실),,95537353794.0,-5443456075.0,283584782861.0,71399143610.0,-8710688060.0,262585873943.0
ifrs-full_FinanceIncome,금융수익,Finance income,당기손익 [개요],금융수익,,188747668336.0,26710729544.0,131290367360.0,12875153794.0,9834033025.0,97170132933.0
ifrs-full_FinanceCosts,금융원가,Finance costs,당기손익 [개요],금융원가,,469564431424.0,181344961285.0,218302928853.0,115786379816.0,93498061535.0,201039719362.0
dart_OtherGains,기타이익,Other gains,당기손익 [개요],기타이익,,328144594511.0,155562222981.0,264242823222.0,56334198501.0,59706127924.0,307816808240.0
dart_OtherLosses,기타손실,Other losses,당기손익 [개요],기타손실,,485378188362.0,234828447383.0,322589054652.0,77320424288.0,101453739289.0,372796390007.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법 적용대상인 관계기업과 공동기업의 당기순손익에 대한 지분,Share of profit (loss) of associates and joint ventures accounted for using equity method,당기손익 [개요],지분법 적용대상인 관계기업과 공동기업의 당기순손익에 대한 지분,,12823270467.0,,12473960455.0,,,8896230872.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,당기손익 [개요],법인세비용차감전순이익(손실),,-329689732678.0,-465076101088.0,150699950393.0,34647319865.0,17945475462.0,102632936619.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),당기손익 [개요],법인세비용(수익),,19590748440.0,-560044263.0,84772554189.0,-7680716199.0,78448896.0,71861285624.0
ifrs-full_ProfitLossFromContinuingOperations,계속영업이익(손실),Profit (loss) from continuing operations,당기손익 [개요],계속영업이익(손실),,-349280481118.0,,65927396204.0,,,30771650995.0
ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업이익(손실),Profit (loss) from discontinued operations,당기손익 [개요],중단영업이익(손실),,-9315316988.0,,-7040620741.0,,,-4029000555.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),당기손익 [개요],당기순이익(손실),,-358595798106.0,-464516056825.0,58886775463.0,42328036064.0,17867026566.0,26742650440.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익(손실),"Profit (loss), attributable to owners of parent",당기손익 [개요],당기순이익(손실)의 귀속 [개요],지배기업의 소유주에게 귀속되는 당기순이익(손실),-363255550781.0,,50985227771.0,,,20438044052.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분에 귀속되는 당기순이익(손실),"Profit (loss), attributable to non-controlling interests",당기손익 [개요],당기순이익(손실)의 귀속 [개요],비지배지분에 귀속되는 당기순이익(손실),4659752675.0,,7901547692.0,,,6304606388.0
ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,계속영업기본주당이익(손실),Basic earnings (loss) per share from continuing operations,당기손익 [개요],주당이익 [개요],계속영업기본주당이익(손실),-659.0,,109.0,,,46.0
ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,중단영업기본주당이익(손실),Basic earnings (loss) per share from discontinued operations,당기손익 [개요],주당이익 [개요],중단영업기본주당이익(손실),-17.0,,-13.0,,,-8.0
ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,계속영업희석주당이익(손실),Diluted earnings (loss) per share from continuing operations,당기손익 [개요],주당이익 [개요],계속영업희석주당이익(손실),-659.0,,109.0,,,46.0
ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,중단영업희석주당이익(손실),Diluted earnings (loss) per share from discontinued operations,당기손익 [개요],주당이익 [개요],중단영업희석주당이익(손실),-17.0,,-13.0,,,-8.0
