"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,6134940101954.0,12394023649010.0,13078536180473.0,7305296189362.0,9263556459959.0,12932160301579.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,5569100204878.0,11008168322414.0,10913240834605.0,6490539027713.0,7509897613319.0,10586822495742.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,565839897076.0,1385855326596.0,2165295345868.0,814757161649.0,1753658846640.0,2345337805837.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,729428111325.0,1686093286542.0,1586058318336.0,792071191331.0,860399833968.0,1422793656290.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,-163588214249.0,-300237959946.0,579237027532.0,22685970318.0,893259012672.0,922544149547.0
dart_NonOperatingProfitLoss,영업외손익,Non-operating profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,,,-897526852001.0,-1123462833151.0,-447152165489.0,-346447172453.0,507020075271.0,-233421391585.0
dart_OtherGains,기타수익,Other non-operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,기타수익,,455673764684.0,694262387438.0,564306087435.0,345639264803.0,1442068200397.0,1038041130246.0
dart_OtherLosses,기타비용,Other non-operating expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,기타비용,,-878892222266.0,-1050907118119.0,-775562831384.0,-533266635372.0,-657855631333.0,-951530968871.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,금융수익,,83941743005.0,108280763120.0,92049688304.0,59880698715.0,51736790951.0,26895271940.0
ifrs-full_FinanceCosts,금융비용,Finance expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,금융비용,,-325116413758.0,-548420217797.0,-411414312840.0,-270692546946.0,-140097585298.0,-194598107662.0
