"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,2793633003560.0,2803686058274.0,2450585394825.0,2452494865652.0,2187382784077.0,2187405670236.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,2380235532038.0,2387893541859.0,2146637536276.0,2148350487679.0,1932111383713.0,1932111383713.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,413397471522.0,415792516415.0,303947858549.0,304144377973.0,255271400364.0,255294286523.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,188257842705.0,196447218733.0,178382673750.0,181569236969.0,192967772698.0,161614396101.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,225139628817.0,219345297682.0,125565184799.0,122575141004.0,62303627666.0,93679890422.0
dart_OtherGains,기타이익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타이익,,,444207185945.0,471189148580.0,305876558573.0,381777493578.0,8080822090.0,8081112774.0
dart_OtherLosses,기타손실,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타손실,,,315324242669.0,105181510953.0,292470103547.0,44361931795.0,84898552636.0,67569203784.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,62250749279.0,48063606585.0,31489222206.0,31524196161.0,35051390040.0,30181151051.0
ifrs-full_FinanceCosts,금융원가,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융원가,,,46073167981.0,39407264646.0,17147482640.0,17408047107.0,11985829095.0,11323123718.0
entity00339391_ProfitslossesofassociatesandjointventuresaccountedforusingequitymethodofstatementofcomprehensiveincomeabstractOfStatementOfComprehensiveIncomeAbstract,지분법손익,ProfitOrLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손익,,,,-12596342874.0,,-30247728517.0,-26708314516.0,
