"('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출액,Sales,ifrs-full:IncomeStatementAbstract,매출액,,10764756994564.0,10776004933627.0,7408312265643.0,7425978807573.0,4817662250664.0,4860150249534.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:IncomeStatementAbstract,매출원가,,10123722003730.0,10092078699901.0,7309503815084.0,7379492589301.0,6199547311555.0,6207032528586.0
ifrs-full_GrossProfit,매출총이익(손실),Gross profit (loss),ifrs-full:IncomeStatementAbstract,매출총이익(손실),,641034990834.0,683926233726.0,98808450559.0,46486218272.0,-1381885060891.0,-1346882279052.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:IncomeStatementAbstract,판매비와관리비,,430260837234.0,446049854409.0,295306750925.0,284991095168.0,261416010692.0,266682254646.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:IncomeStatementAbstract,영업이익(손실),,210774153600.0,237876379317.0,-196498300366.0,-238504876896.0,-1643301071583.0,-1613564533698.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:IncomeStatementAbstract,금융수익,,687108730128.0,696500462509.0,552678716465.0,548709347320.0,527021116477.0,540128000445.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:IncomeStatementAbstract,금융비용,,1165332271158.0,1172189542295.0,898893098681.0,887171969737.0,1119508013790.0,1137043236621.0
dart_OtherGains,기타수익,Other gains,ifrs-full:IncomeStatementAbstract,기타수익,,506751538167.0,504266507102.0,555048620441.0,437099943739.0,509973623308.0,510617026458.0
dart_OtherLosses,기타비용,Other losses,ifrs-full:IncomeStatementAbstract,기타비용,,98132587869.0,100869543531.0,130113539083.0,38063550308.0,88943262295.0,94693342483.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익,Share of profit (loss) of associates and joint ventures accounted for using equity method,ifrs-full:IncomeStatementAbstract,지분법이익,,,15450802575.0,1498420244.0,,,229653865.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,ifrs-full:IncomeStatementAbstract,법인세비용차감전순이익(손실),,141169562868.0,181035065677.0,-116279180980.0,-177931105882.0,-1814757607883.0,-1794326432034.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense(Gain),ifrs-full:IncomeStatementAbstract,법인세비용(수익),,-356380712884.0,-347177832470.0,-276323035463.0,-287763028645.0,-47437725164.0,-49547984377.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:IncomeStatementAbstract,당기순이익(손실),,497550275752.0,528212898147.0,160043854483.0,109831922763.0,-1767319882719.0,-1744778447657.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주,Owners of the Parent Company,ifrs-full:IncomeStatementAbstract,당기순이익(손실)의 귀속,지배기업의 소유주,,528119120128.0,159885949584.0,,,-1744778447657.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,Non-controlling interest,ifrs-full:IncomeStatementAbstract,당기순이익(손실)의 귀속,비지배지분,,93778019.0,157904899.0,,,
ifrs-full_BasicEarningsLossPerShare,기본주당순이익,Basic earnings (losses) per share,ifrs-full:IncomeStatementAbstract,주당이익 [개요],기본주당순이익,1548.0,1648.0,736.0,465.0,-16703.0,-16493.0
ifrs-full_DilutedEarningsLossPerShare,희석주당순이익,Diluted earnings (loss) per share,ifrs-full:IncomeStatementAbstract,주당이익 [개요],희석주당순이익,1365.0,1449.0,659.0,453.0,-16703.0,-16493.0
