"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,수익(매출액),Revenue,포괄손익계산서 [개요],수익(매출액),,,16730103000000.0,32670268000000.0,15778844000000.0,29651357000000.0,11978479000000.0,21239082000000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [개요],매출원가,,,16381275000000.0,32887201000000.0,14927998000000.0,27948549000000.0,11086837000000.0,19726334000000.0
ifrs-full_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [개요],매출총이익,,,348828000000.0,-216933000000.0,850846000000.0,1702808000000.0,891642000000.0,1512748000000.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,포괄손익계산서 [개요],판매비와관리비,,,564353000000.0,1046487000000.0,510319000000.0,917378000000.0,545300000000.0,937846000000.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),포괄손익계산서 [개요],영업이익(손실),,,-215525000000.0,-1263420000000.0,340527000000.0,785430000000.0,346342000000.0,574902000000.0
dart_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익,Profits of associates and joint ventures accounted for using equity method,포괄손익계산서 [개요],지분법이익,,,,11165000000.0,,2636000000.0,,1150000000.0
dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손실,Losses of associates and joint ventures accounted for using equity method,포괄손익계산서 [개요],지분법손실,,,,5590000000.0,,7916000000.0,,13823000000.0
ifrs-full_FinanceIncome,금융수익,Finance income,포괄손익계산서 [개요],금융수익,,,417220000000.0,359853000000.0,241696000000.0,294585000000.0,331045000000.0,401429000000.0
ifrs-full_FinanceCosts,금융원가,Finance costs,포괄손익계산서 [개요],금융원가,,,147970000000.0,171771000000.0,118991000000.0,141179000000.0,142163000000.0,176777000000.0
dart_OtherGains,기타이익,Other gains,포괄손익계산서 [개요],기타이익,,,446430000000.0,839957000000.0,302856000000.0,504788000000.0,201666000000.0,435786000000.0
dart_OtherLosses,기타손실,Other losses,포괄손익계산서 [개요],기타손실,,,321808000000.0,755911000000.0,284392000000.0,498799000000.0,233196000000.0,468852000000.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,포괄손익계산서 [개요],법인세비용차감전순이익(손실),,,178347000000.0,-985717000000.0,481696000000.0,939545000000.0,503694000000.0,753815000000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),포괄손익계산서 [개요],법인세비용(수익),,,4216000000.0,-219496000000.0,109569000000.0,285264000000.0,157122000000.0,282939000000.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [개요],당기순이익(손실),,,174131000000.0,-766221000000.0,372127000000.0,654281000000.0,346572000000.0,470876000000.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,포괄손익계산서 [개요],기타포괄손익,,,146191000000.0,76421000000.0,-8936000000.0,-28254000000.0,109327000000.0,144152000000.0
