"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,4376597857000.0,4323302753000.0,3498942898000.0,3587382453000.0,3163343615000.0,3106010725000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,3547550219000.0,3514182693000.0,3052430186000.0,3122984003000.0,2797911962000.0,2748919929000.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,829047638000.0,809120060000.0,446512712000.0,464398450000.0,365431653000.0,357090796000.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,372482104000.0,340737308000.0,241233361000.0,254351856000.0,217944984000.0,179107561000.0
dart_OperatingIncomeLoss,영업손익,Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업손익,,,456565534000.0,468382752000.0,205279351000.0,210046594000.0,147486669000.0,177983235000.0
dart_OtherGains,기타수익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타수익,,,114050169000.0,113075025000.0,80986065000.0,82308356000.0,99193218000.0,98747299000.0
dart_OtherLosses,기타비용,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타비용,,,84254421000.0,83280955000.0,96384206000.0,111691312000.0,94560825000.0,105766710000.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,75210934000.0,69267556000.0,44999386000.0,47601139000.0,28547869000.0,27227637000.0
ifrs-full_FinanceCosts,금융비용,Finance expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,51904505000.0,49140769000.0,45007369000.0,47230751000.0,76639752000.0,75642634000.0
dart_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익(손실),Profits of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법이익(손실),,,-106623000.0,,,-193203000.0,-146542000.0,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit(Loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익(손실),,,509561088000.0,518303609000.0,189873227000.0,180840823000.0,103880637000.0,122548827000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용(수익),,,104301674000.0,105027404000.0,23219580000.0,24061845000.0,-90653616000.0,-91151899000.0
ifrs-full_ProfitLoss,연결당기순이익,Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,연결당기순이익,,,405259414000.0,413276205000.0,166653647000.0,156778978000.0,194534253000.0,213700726000.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,-32236151000.0,-23490569000.0,-10853002000.0,-1273413000.0,28691238000.0,23773290000.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는항목(세후기타포괄손익),"Other comprehensive income that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),,-24820138000.0,-23490569000.0,-10853002000.0,-11286185000.0,22594370000.0,22510357000.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),"Other comprehensive income that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),,-7416013000.0,0.0,0.0,10012772000.0,6096868000.0,1262933000.0
ifrs-full_ComprehensiveIncome,당기총포괄손익,Comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기총포괄손익,,,373023263000.0,389785636000.0,155800645000.0,155505565000.0,223225491000.0,237474016000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익(손실),"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순손익의 귀속,지배기업의 소유주에게 귀속되는 당기순이익(손실),,406891810000.0,,,161027790000.0,197797542000.0,
