"('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:IncomeStatementAbstract,매출액,,57236995000000.0,36604026000000.0,59254361000000.0,38970304000000.0,34052113000000.0,51906293000000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:IncomeStatementAbstract,매출원가,,49174367000000.0,31384907000000.0,52492187000000.0,34719201000000.0,29927002000000.0,45919139000000.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:IncomeStatementAbstract,매출총이익,,8062628000000.0,5219119000000.0,6762174000000.0,4251103000000.0,4125111000000.0,5987154000000.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:IncomeStatementAbstract,판매비와관리비,,4989172000000.0,3416266000000.0,4466890000000.0,3089416000000.0,2719778000000.0,3960623000000.0
dart_OperatingIncomeLoss,영업이익,Operating income,ifrs-full:IncomeStatementAbstract,영업이익,,3073456000000.0,1802853000000.0,2295284000000.0,1161687000000.0,1405333000000.0,2026531000000.0
dart_OtherGains,기타수익,Other gains,ifrs-full:IncomeStatementAbstract,기타수익,,518144000000.0,383229000000.0,350832000000.0,285711000000.0,354527000000.0,481942000000.0
dart_OtherLosses,기타비용,Other losses,ifrs-full:IncomeStatementAbstract,기타비용,,440551000000.0,260004000000.0,265580000000.0,196905000000.0,320242000000.0,483991000000.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:IncomeStatementAbstract,금융수익,,812053000000.0,1427784000000.0,824814000000.0,1296241000000.0,1161302000000.0,784891000000.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:IncomeStatementAbstract,금융비용,,486348000000.0,226261000000.0,605237000000.0,361201000000.0,529345000000.0,668331000000.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법 적용대상인 관계기업과 공동기업의 당기순손익에 대한 지분 합계,Total share of profit (loss) of associates and joint ventures accounted for using equity method,ifrs-full:IncomeStatementAbstract,지분법 적용대상인 관계기업과 공동기업의 당기순손익에 대한 지분 합계,,1787722000000.0,,1844741000000.0,,,1221570000000.0
ifrs-full_ProfitLossBeforeTax,법인세차감전순이익,Profit (loss) before tax,ifrs-full:IncomeStatementAbstract,법인세차감전순이익,,5264476000000.0,3129289000000.0,4444854000000.0,2185846000000.0,2049859000000.0,3362612000000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense (income),ifrs-full:IncomeStatementAbstract,법인세비용,,1204315000000.0,535068000000.0,1021545000000.0,370947000000.0,473399000000.0,875368000000.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:IncomeStatementAbstract,당기순이익(손실),,4060161000000.0,2594221000000.0,3423309000000.0,1814899000000.0,1576460000000.0,2487244000000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,당기순이익,Profit (loss),ifrs-full:IncomeStatementAbstract,당기순이익(손실)의 귀속 [개요],당기순이익,4055642000000.0,,3422616000000.0,,,2485254000000.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분 순이익,"Profit (loss), attributable to non-controlling interests",ifrs-full:IncomeStatementAbstract,당기순이익(손실)의 귀속 [개요],비지배지분 순이익,4519000000.0,,693000000.0,,,1990000000.0
ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,ifrs-full:IncomeStatementAbstract,주당이익 [개요],기본주당이익(손실),44939.0,28745.0,37639.0,19959.0,17230.0,27163.0
