"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,18617621568224.0,23226141091217.0,21609416275152.0,25914760456167.0,27340601237802.0,23666889994897.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,-17627604672556.0,-21832181795145.0,-19828254890060.0,-23782266548419.0,-24506876611584.0,-21171332090278.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,990016895668.0,1393959296072.0,1781161385092.0,2132493907748.0,2833724626218.0,2495557904619.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,-975047404651.0,-1234467287492.0,-1130777209053.0,-1334168839675.0,-1217267500929.0,-1030819439900.0
dart_OperatingIncomeLoss,영업이익,Operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,14969491017.0,159492008580.0,650384176039.0,798325068073.0,1616457125289.0,1464738464719.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,352110540622.0,383819141345.0,368837869516.0,371903127832.0,345051172511.0,312303311140.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,-535523611842.0,-664452046561.0,-526857741571.0,-650501875429.0,-594003092778.0,-494852544201.0
dart_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,관계기업및공동기업투자관련이익,Profits of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,관계기업및공동기업투자관련이익,,,,12358367910.0,,4880710015.0,11837910313.0,
dart_OtherGains,기타수익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타수익,,,224681690192.0,278408823973.0,233083990735.0,275725104887.0,339607624957.0,297512802157.0
dart_OtherLosses,기타비용,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타비용,,,-212155378087.0,-229122121605.0,-262979625997.0,-268256459585.0,-370392712840.0,-319036421778.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순손익,Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순손익,,,-155917268098.0,-59495826358.0,462468668722.0,532075675793.0,1348558027452.0,1260665612037.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세 수익(비용),Tax income (expense),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세 수익(비용),,,90938181960.0,68310040630.0,-98113879116.0,-89092214782.0,-310365097143.0,-290875821315.0
ifrs-full_ProfitLoss,당기순손익,Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순손익,,,-64979086138.0,8814214272.0,364354789606.0,442983461011.0,1038192930309.0,969789790722.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,-116150977225.0,-39700278934.0,53756041638.0,56921574500.0,-37606427799.0,-62256884479.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 항목,"Other comprehensive income that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,,,,,,,
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 항목,"Other comprehensive income that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,,,,,,,
ifrs-full_ComprehensiveIncome,포괄손익,Comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익,,,-181130063363.0,-30886064662.0,418110831244.0,499905035511.0,1000586502510.0,907532906243.0
