"('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'label_en')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class0')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class1')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class2')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,영업수익,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업수익,,,1795633000000.0,1767927000000.0,1582198000000.0,1568641000000.0,1147815000000.0,1186029000000.0
ifrs-full_FeeAndCommissionIncome,수수료수익,Fee and commission income,ifrs-full:StatementOfComprehensiveIncomeAbstract,수수료수익,,,163037000000.0,180335000000.0,151439000000.0,168762000000.0,237632000000.0,174892000000.0
ifrs-full_RevenueFromInterest,이자수익,Interest income,ifrs-full:StatementOfComprehensiveIncomeAbstract,이자수익,,,391505000000.0,353700000000.0,461377000000.0,410079000000.0,192410000000.0,242542000000.0
ifrs-full_InterestRevenueCalculatedUsingEffectiveInterestMethod,유효이자율적용 이자수익,Interest revenue calculated using effective interest method,ifrs-full:StatementOfComprehensiveIncomeAbstract,이자수익,유효이자율적용 이자수익,,160672000000.0,122867000000.0,163995000000.0,112697000000.0,71297000000.0,120755000000.0
ifrs-full_InterestIncomeOnFinancialAssetsDesignatedAtFairValueThroughProfitOrLoss,당기손익-공정가치로 측정하는 금융자산의 이자수익,Interest income on financial assets designated at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,이자수익,당기손익-공정가치로 측정하는 금융자산의 이자수익,,230833000000.0,230833000000.0,297382000000.0,297382000000.0,121113000000.0,121787000000.0
dart_GainFromFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융상품관련이익,Gain from financial instruments at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정금융상품관련이익,,,312477000000.0,311810000000.0,416267000000.0,416004000000.0,322876000000.0,365744000000.0
dart_GainFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융상품관련이익,Gain from financial instruments at fair value through other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익-공정가치측정금융상품관련이익,,,602000000.0,602000000.0,324000000.0,324000000.0,220000000.0,220000000.0
ifrs-full_OtherFinanceIncome,금융상품 관련 기타수익,Other finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융상품 관련 기타수익,,,26917000000.0,30231000000.0,42010000000.0,71254000000.0,30672000000.0,31507000000.0
ifrs-full_ReversalAllowanceAccountForCreditLossesOfFinancialAssets,신용손실충당금 환입액,"Reversal, allowance account for credit losses of financial assets",ifrs-full:StatementOfComprehensiveIncomeAbstract,금융상품 관련 기타수익,신용손실충당금 환입액,,2000000.0,763000000.0,0.0,27641000000.0,392000000.0,219000000.0
entity00137997_MiscellaneousOtherIncomeOfudf_IS_20243518341333OfStatementOfComprehensiveIncomeAbstract,그 밖의 기타금융수익,Miscellaneous other finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융상품 관련 기타수익,그 밖의 기타금융수익,,26915000000.0,,42010000000.0,,,31288000000.0
dart_GainFromDerivatives,파생상품관련수익,Gain from derivatives,ifrs-full:StatementOfComprehensiveIncomeAbstract,파생상품관련수익,,,875015000000.0,875015000000.0,491252000000.0,491252000000.0,343416000000.0,343416000000.0
ifrs-full_ForeignExchangeGain,외환거래수익,Foreign exchange gain,ifrs-full:StatementOfComprehensiveIncomeAbstract,외환거래수익,,,16092000000.0,16092000000.0,9059000000.0,9059000000.0,15400000000.0,15400000000.0
dart_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익,Profits of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법이익,,,9923000000.0,,8563000000.0,,,12308000000.0
dart_OtherOperatingIncome,기타수익,Other operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타수익,,,65000000.0,142000000.0,1907000000.0,1907000000.0,5189000000.0,0.0
ifrs-full_OperatingExpense,영업비용,Operating expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업비용,,,-1740942000000.0,-1713376000000.0,-1517028000000.0,-1503194000000.0,-1040772000000.0,-1071455000000.0
ifrs-full_FeeAndCommissionExpense,수수료비용,Fee and commission expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,수수료비용,,,-20753000000.0,-16710000000.0,-15455000000.0,-13735000000.0,-9923000000.0,-10751000000.0
ifrs-full_InterestExpense,이자비용,Interest expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,이자비용,,,-278071000000.0,-258053000000.0,-344720000000.0,-308535000000.0,-130935000000.0,-160433000000.0
dart_LossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융상품관련손실,Loss from financial instruments at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정금융상품관련손실,,,-354553000000.0,-353976000000.0,-447172000000.0,-431537000000.0,-273588000000.0,-274219000000.0
dart_LossFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융상품관련손실,Loss from financial instruments at fair value through other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익-공정가치측정금융상품관련손실,,,-742000000.0,-742000000.0,-321000000.0,-321000000.0,-0.0,-0.0
ifrs-full_OtherFinanceCost,금융상품 관련 기타비용,Other finance cost,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융상품 관련 기타비용,,,-29631000000.0,-29916000000.0,-47983000000.0,-89509000000.0,-33997000000.0,-33537000000.0
ifrs-full_AdditionalAllowanceRecognisedInProfitOrLossAllowanceAccountForCreditLossesOfFinancialAssets,신용손실충당금 전입액,"Additional allowance recognised in profit or loss, allowance account for credit losses of financial assets",ifrs-full:StatementOfComprehensiveIncomeAbstract,금융상품 관련 기타비용,신용손실충당금 전입액,,-29631000000.0,-29916000000.0,-47828000000.0,-89354000000.0,-33997000000.0,-33537000000.0
entity00137997_MiscellaneousOtherExpenseOfudf_IS_202435185453842OfStatementOfComprehensiveIncomeAbstract,그 밖의 기타금융비용,Miscellaneous other expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융상품 관련 기타비용,그 밖의 기타금융비용,,-0.0,,-155000000.0,,,-0.0
dart_LossesFromDerivatives,파생상품관련비용,Losses from derivatives,ifrs-full:StatementOfComprehensiveIncomeAbstract,파생상품관련비용,,,-838928000000.0,-838928000000.0,-464597000000.0,-464597000000.0,-367504000000.0,-367504000000.0
ifrs-full_ForeignExchangeLoss,외환거래비용,Foreign exchange loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,외환거래비용,,,-6235000000.0,-6235000000.0,-8152000000.0,-8152000000.0,-8039000000.0,-8039000000.0
dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손실,Losses of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손실,,,-3213000000.0,,-1850000000.0,,,-187000000.0
dart_OtherOperatingExpense,기타비용,Other operating expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타비용,,,-60000000.0,-60000000.0,-340000000.0,-370000000.0,-5737000000.0,-5736000000.0
ifrs-full_SellingGeneralAndAdministrativeExpense,판매 및 일반관리비,"Selling, general and administrative expense",ifrs-full:StatementOfComprehensiveIncomeAbstract,판매 및 일반관리비,,,-208756000000.0,-208756000000.0,-186438000000.0,-186438000000.0,-211049000000.0,-211049000000.0
ifrs-full_ProfitLossFromOperatingActivities,영업이익(손실),Profit (loss) from operating activities,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,54691000000.0,54551000000.0,65170000000.0,65447000000.0,107043000000.0,114574000000.0
dart_NonOperatingIncome,영업외수익,Non-operating Income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외수익,,,206000000.0,206000000.0,410000000.0,410000000.0,902000000.0,902000000.0
ifrs-full_GainsOnDisposalsOfPropertyPlantAndEquipment,유형자산처분이익,"Gains on disposals of property, plant and equipment",ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외수익,유형자산처분이익,,17000000.0,17000000.0,84000000.0,84000000.0,48000000.0,48000000.0
dart_GainsOnDisposalsOfIntangibleAssets,무형자산처분이익,Gains on disposals of intangible assets,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외수익,무형자산처분이익,,0.0,0.0,0.0,0.0,256000000.0,256000000.0
dart_ReversalOfImpairmentLossesOnIntangibleAssets,무형자산감액손실환입,Reversal of impairment losses on intangible assets,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외수익,무형자산감액손실환입,,0.0,0.0,0.0,0.0,492000000.0,492000000.0
dart_MiscellaneousIncome,기타영업외수익,Miscellaneous other non-operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외수익,기타영업외수익,,189000000.0,189000000.0,326000000.0,326000000.0,106000000.0,106000000.0
dart_NonOperatingExpense,영업외비용,Non-operating expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외비용,,,-4389000000.0,-4390000000.0,-227000000.0,-229000000.0,-129000000.0,-129000000.0
ifrs-full_LossesOnDisposalsOfPropertyPlantAndEquipment,유형자산처분손실,"Losses on disposals of property, plant and equipment",ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외비용,유형자산처분손실,,-38000000.0,-38000000.0,-66000000.0,-66000000.0,-0.0,-0.0
dart_LossesOnDisposalOfIntangibleAssets,무형자산처분손실,Losses on disposal of intangible assets,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외비용,무형자산처분손실,,-4130000000.0,-4130000000.0,-0.0,-0.0,-0.0,-0.0
dart_ImpairmentLossesOnIntangibleAssets,무형자산손상차손,Impairment losses on intangible assets,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외비용,무형자산손상차손,,-35000000.0,-35000000.0,-0.0,-0.0,-1000000.0,-1000000.0
dart_Donations,기부금,Donations,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외비용,기부금,,-89000000.0,-89000000.0,-62000000.0,-62000000.0,-40000000.0,-40000000.0
dart_MiscellaneousLosses,기타영업외비용,Miscellaneous other non-operating expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외비용,기타영업외비용,,-97000000.0,-98000000.0,-99000000.0,-101000000.0,-88000000.0,-88000000.0
ifrs-full_ProfitLossBeforeTax,법인세차감전순이익,Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세차감전순이익,,,50508000000.0,50367000000.0,65353000000.0,65628000000.0,107816000000.0,115347000000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,-14358000000.0,-14020000000.0,-11842000000.0,-11592000000.0,-27644000000.0,-28245000000.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),,,36150000000.0,36347000000.0,53511000000.0,54036000000.0,80172000000.0,87102000000.0
