"('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:IncomeStatementAbstract,매출액,,,3360318545384.0,4894979612220.0,3096375811355.0,4300571503251.0,2589772103578.0,3510143917637.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:IncomeStatementAbstract,매출원가,,,2828113432737.0,4103207266477.0,2655876985922.0,3663028821366.0,2265105519111.0,3075121535511.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:IncomeStatementAbstract,매출총이익,,,532205112647.0,791772345743.0,440498825433.0,637542681885.0,324666584467.0,435022382126.0
ifrs-full_SellingGeneralAndAdministrativeExpense,판매비와관리비,"Selling, general and administrative expense",ifrs-full:IncomeStatementAbstract,판매비와관리비,,,267303099272.0,384790688814.0,235207541837.0,336709354296.0,160542830072.0,253025718274.0
ifrs-full_ResearchAndDevelopmentExpense,연구개발비,Research and development expense,ifrs-full:IncomeStatementAbstract,연구개발비,,,44502169796.0,44502169796.0,42996379988.0,42996379988.0,38748033878.0,38748033878.0
dart_OperatingIncomeLoss,영업이익,Operating income,ifrs-full:IncomeStatementAbstract,영업이익,,,220399843579.0,362479487133.0,162294903608.0,257836947601.0,125375720517.0,143248629974.0
dart_OtherGains,기타수익,Other gains,ifrs-full:IncomeStatementAbstract,기타수익,,,14560615715.0,18019587875.0,11501862379.0,18805915183.0,13519665510.0,16089160629.0
dart_OtherLosses,기타비용,Other losses,ifrs-full:IncomeStatementAbstract,기타비용,,,118921281553.0,116669673129.0,11655168895.0,9489701200.0,22158053584.0,23423828254.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:IncomeStatementAbstract,금융수익,,,511485015125.0,528283861698.0,187297293464.0,202140576601.0,387971677951.0,395238948022.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:IncomeStatementAbstract,금융비용,,,516744876745.0,566861757914.0,243003704979.0,296767969361.0,424869099768.0,469564522725.0
entity01316245_ProfitsLossesOfassociatesandjointventuresaccountedforusingequitymethodOfIncomeStatementAbstract,관계기업지분법손실,Profits(Losses) Of Associates And Joint Ventures Accounted For Using Equity Method,ifrs-full:IncomeStatementAbstract,관계기업지분법손실,,,,1616563992.0,,2862005738.0,,1746726514.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,ifrs-full:IncomeStatementAbstract,법인세비용차감전순이익,,,110779316121.0,223634941671.0,106435185577.0,169663763086.0,79839910626.0,59841661132.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense income,ifrs-full:IncomeStatementAbstract,법인세비용,,,-3057469070.0,705497479.0,20500464715.0,37741446667.0,29409547810.0,30712114237.0
ifrs-full_ProfitLoss,당기순이익,Profit (loss),ifrs-full:IncomeStatementAbstract,당기순이익,,,113836785191.0,222929444192.0,85934720862.0,131922316419.0,50430362816.0,29129546895.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배회사지분순이익,"Profit (loss), attributable to owners of parent",ifrs-full:IncomeStatementAbstract,당기순이익(손실)의 귀속,지배회사지분순이익,,,222633314544.0,,115982221076.0,,10215533944.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분순이익,"Profit (loss), attributable to non-controlling interests",ifrs-full:IncomeStatementAbstract,당기순이익(손실)의 귀속,비지배지분순이익,,,296129648.0,,15940095343.0,,18914012951.0
ifrs-full_BasicEarningsLossPerShare,기본주당이익,Basic earnings (loss) per share,ifrs-full:IncomeStatementAbstract,주당손익,기본주당이익,,,,,,,
